subject	models	generation	group	preCompDelta	preCompBias	preWarmDelta	preWarmBias	postCompDelta	postCompBias	postWarmDelta	postWarmBias	agree	agreeTotal	agreeBias	agreeMax	obs	obsTotal	obsBias	hamming
28	1	5	IG	0.5	IG	1	IG	0	Unbiased	0	Unbiased	10	19	IG	11	11	20	IG	27
28	1	5	OG	0.5	IG	1	IG	0	Unbiased	0	Unbiased	9	19	IG	9	9	20	IG	19
29	1	5	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	12	12	IG	20	20	20	IG	32
29	1	5	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	0	12	IG	0	0	20	IG	44
30	1	6	IG	0.5	IG	1	IG	0.5	IG	0.5	IG	6	11	IG	11	11	20	IG	27
30	1	6	OG	0.5	IG	1	IG	0.5	IG	0.5	IG	5	11	IG	9	9	20	IG	28
31	1	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	4	13	OG	6	6	20	OG	30
31	1	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	9	13	OG	14	14	20	OG	21
32	1	6	IG	2	IG	1	IG	2	IG	1.5	IG	2	3	IG	11	11	20	IG	36
32	1	6	OG	2	IG	1	IG	2	IG	1.5	IG	1	3	IG	9	9	20	IG	29
33	1	6	IG	2	IG	1	IG	0	Unbiased	0	Unbiased	9	14	IG	12	12	20	IG	31
33	1	6	OG	2	IG	1	IG	0	Unbiased	0	Unbiased	5	14	IG	8	8	20	IG	32
34	1	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	5	12	OG	8	8	20	OG	29
34	1	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	7	12	OG	12	12	20	OG	26
35	1	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	6	16	OG	7	7	20	OG	25
35	1	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	10	16	OG	13	13	20	OG	26
36	1	7	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	18	20	IG	18	18	20	IG	19
36	1	7	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	2	20	IG	2	2	20	IG	28
37	1	7	IG	1	IG	1.5	IG	1	IG	1	IG	13	13	IG	19	19	20	IG	24
37	1	7	OG	1	IG	1.5	IG	1	IG	1	IG	0	13	IG	1	1	20	IG	21
38	1	7	IG	-1.5	OG	1	IG	-1	OG	1	IG	4	8	Unbiased	11	11	20	IG	32
38	1	7	OG	-1.5	OG	1	IG	-1	OG	1	IG	4	8	Unbiased	9	9	20	IG	29
39	1	7	IG	1	IG	1	IG	-1	OG	-0.5	OG	6	6	IG	19	19	20	IG	31
39	1	7	OG	1	IG	1	IG	-1	OG	-0.5	OG	0	6	IG	1	1	20	IG	38
40	1	7	IG	1	IG	1	IG	-1	OG	1	IG	10	13	IG	14	14	20	IG	31
40	1	7	OG	1	IG	1	IG	-1	OG	1	IG	3	13	IG	6	6	20	IG	28
41	1	7	IG	0.5	IG	1	IG	0.5	IG	0	Unbiased	2	10	OG	7	7	20	OG	35
41	1	7	OG	0.5	IG	1	IG	0.5	IG	0	Unbiased	8	10	OG	13	13	20	OG	34
42	1	8	IG	0	Unbiased	0	Unbiased	0.5	IG	-1	OG	12	19	IG	12	12	20	IG	20
42	1	8	OG	0	Unbiased	0	Unbiased	0.5	IG	-1	OG	7	19	IG	8	8	20	IG	21
