subject	models	generation	group	preCompDelta	preCompBias	preWarmDelta	preWarmBias	postCompDelta	postCompBias	postWarmDelta	postWarmBias	agree	agreeTotal	agreeBias	agreeMax	obs	obsTotal	obsBias	hamming
123	3	3	IG	0	Unbiased	1	IG	0	Unbiased	-0.5	OG	20	35	IG	26	32	60	IG	23
123	3	3	OG	0	Unbiased	1	IG	0	Unbiased	-0.5	OG	15	35	IG	24	28	60	IG	27
124	3	3	IG	1	IG	0.5	IG	0	Unbiased	0	Unbiased	1	49	OG	1	1	60	OG	31
124	3	3	OG	1	IG	0.5	IG	0	Unbiased	0	Unbiased	48	49	OG	48	59	60	OG	11
125	3	3	IG	-0.5	OG	0.5	IG	0	Unbiased	-0.5	OG	15	36	OG	23	30	60	Unbiased	30
125	3	3	OG	-0.5	OG	0.5	IG	0	Unbiased	-0.5	OG	21	36	OG	27	30	60	Unbiased	20
126	3	4	IG	2	IG	2	IG	0	Unbiased	0	Unbiased	22	37	IG	25	35	60	IG	21
126	3	4	OG	2	IG	2	IG	0	Unbiased	0	Unbiased	15	37	IG	22	25	60	IG	25
127	3	4	IG	3	IG	1.5	IG	0.5	IG	-2.5	OG	13	31	OG	23	30	60	Unbiased	31
127	3	4	OG	3	IG	1.5	IG	0.5	IG	-2.5	OG	18	31	OG	25	30	60	Unbiased	31
128	3	4	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	29	47	IG	29	38	60	IG	21
128	3	4	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	18	47	IG	19	22	60	IG	21
129	3	4	IG	0	Unbiased	-0.5	OG	1	IG	0.5	IG	22	34	IG	30	40	60	IG	26
129	3	4	OG	0	Unbiased	-0.5	OG	1	IG	0.5	IG	12	34	IG	20	20	60	IG	30
130	3	4	IG	0.5	IG	-0.5	OG	0.5	IG	0	Unbiased	13	29	OG	23	26	60	OG	27
130	3	4	OG	0.5	IG	-0.5	OG	0.5	IG	0	Unbiased	16	29	OG	28	34	60	OG	27
131	3	4	IG	1.5	IG	1	IG	0.5	IG	1	IG	39	42	IG	41	53	60	IG	19
131	3	4	OG	1.5	IG	1	IG	0.5	IG	1	IG	3	42	IG	5	7	60	IG	25
132	3	5	IG	1	IG	0.5	IG	0.5	IG	-0.5	OG	37	41	IG	44	55	60	IG	20
132	3	5	OG	1	IG	0.5	IG	0.5	IG	-0.5	OG	4	41	IG	4	5	60	IG	25
133	3	5	IG	1	IG	0	Unbiased	1	IG	0	Unbiased	16	25	IG	28	40	60	IG	37
133	3	5	OG	1	IG	0	Unbiased	1	IG	0	Unbiased	9	25	IG	20	20	60	IG	26
134	3	5	IG	1	IG	0.5	IG	1	IG	1	IG	16	36	OG	25	30	60	Unbiased	30
134	3	5	OG	1	IG	0.5	IG	1	IG	1	IG	20	36	OG	23	30	60	Unbiased	19
135	3	5	IG	0	Unbiased	0	Unbiased	0.5	IG	0.5	IG	26	38	IG	31	43	60	IG	22
135	3	5	OG	0	Unbiased	0	Unbiased	0.5	IG	0.5	IG	12	38	IG	14	17	60	IG	31
136	3	5	IG	1	IG	1	IG	1	IG	1.5	IG	18	35	IG	25	33	60	IG	27
136	3	5	OG	1	IG	1	IG	1	IG	1.5	IG	17	35	IG	20	27	60	IG	20
137	3	5	IG	1	IG	0	Unbiased	1	IG	0	Unbiased	36	48	IG	36	45	60	IG	18
137	3	5	OG	1	IG	0	Unbiased	1	IG	0	Unbiased	12	48	IG	12	15	60	IG	23
138	3	6	IG	1	IG	1	IG	0.5	IG	1.5	IG	17	39	OG	24	28	60	OG	24
138	3	6	OG	1	IG	1	IG	0.5	IG	1.5	IG	22	39	OG	27	32	60	OG	25
139	3	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	20	38	IG	26	33	60	IG	25
139	3	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	18	38	IG	24	27	60	IG	22
140	3	6	IG	0	Unbiased	1	IG	0	Unbiased	0	Unbiased	15	42	OG	22	25	60	OG	21
140	3	6	OG	0	Unbiased	1	IG	0	Unbiased	0	Unbiased	27	42	OG	32	35	60	OG	18
141	3	6	IG	1	IG	1	IG	1	IG	1	IG	22	36	IG	31	35	60	IG	25
141	3	6	OG	1	IG	1	IG	1	IG	1	IG	14	36	IG	19	25	60	IG	24
142	3	6	IG	0	Unbiased	-1	OG	-0.5	OG	-0.5	OG	10	31	OG	20	23	60	OG	31
142	3	6	OG	0	Unbiased	-1	OG	-0.5	OG	-0.5	OG	21	31	OG	30	37	60	OG	28
143	3	6	IG	0	Unbiased	0	Unbiased	-1	OG	-0.5	OG	20	41	OG	27	29	60	OG	23
143	3	6	OG	0	Unbiased	0	Unbiased	-1	OG	-0.5	OG	21	41	OG	25	31	60	OG	22
144	3	7	IG	2.5	IG	1	IG	0	Unbiased	0	Unbiased	45	45	IG	46	60	60	IG	15
144	3	7	OG	2.5	IG	1	IG	0	Unbiased	0	Unbiased	0	45	IG	0	0	60	IG	25
145	3	7	IG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	24	45	IG	27	34	60	IG	19
145	3	7	OG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	21	45	IG	25	26	60	IG	17
146	3	7	IG	0	Unbiased	0	Unbiased	0	Unbiased	1.5	IG	28	32	IG	40	54	60	IG	28
146	3	7	OG	0	Unbiased	0	Unbiased	0	Unbiased	1.5	IG	4	32	IG	6	6	60	IG	18
147	3	7	IG	1	IG	2	IG	1	IG	1.5	IG	16	27	IG	33	38	60	IG	32
147	3	7	OG	1	IG	2	IG	1	IG	1.5	IG	11	27	IG	20	22	60	IG	30
148	3	7	IG	1.5	IG	0.5	IG	1	IG	2	IG	26	34	IG	34	42	60	IG	26
148	3	7	OG	1.5	IG	0.5	IG	1	IG	2	IG	8	34	IG	16	18	60	IG	24
149	3	7	IG	1	IG	-0.5	OG	0	Unbiased	0	Unbiased	20	31	IG	26	30	60	Unbiased	25
149	3	7	OG	1	IG	-0.5	OG	0	Unbiased	0	Unbiased	11	31	IG	26	30	60	Unbiased	31
150	3	8	IG	-0.5	OG	0	Unbiased	0.5	IG	0	Unbiased	39	43	IG	46	54	60	IG	16
150	3	8	OG	-0.5	OG	0	Unbiased	0.5	IG	0	Unbiased	4	43	IG	6	6	60	IG	25
151	3	8	IG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	34	34	IG	51	60	60	IG	26
151	3	8	OG	0	Unbiased	0	Unbiased	0.5	IG	0	Unbiased	0	34	IG	0	0	60	IG	21
152	3	8	IG	2.5	IG	3	IG	3	IG	2.5	IG	47	47	IG	51	60	60	IG	13
152	3	8	OG	2.5	IG	3	IG	3	IG	2.5	IG	0	47	IG	0	0	60	IG	24
153	3	8	IG	1.5	IG	1.5	IG	0	Unbiased	0	Unbiased	21	39	IG	27	35	60	IG	25
153	3	8	OG	1.5	IG	1.5	IG	0	Unbiased	0	Unbiased	18	39	IG	24	25	60	IG	22
154	3	8	IG	2	IG	2	IG	0	Unbiased	-0.5	OG	21	36	IG	26	35	60	IG	27
154	3	8	OG	2	IG	2	IG	0	Unbiased	-0.5	OG	15	36	IG	22	25	60	IG	22
155	3	8	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	17	42	OG	23	27	60	OG	26
155	3	8	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	25	42	OG	30	33	60	OG	19
156	3	9	IG	1	IG	1.5	IG	1	IG	1	IG	18	32	IG	31	38	60	IG	30
156	3	9	OG	1	IG	1.5	IG	1	IG	1	IG	14	32	IG	21	22	60	IG	32
157	3	9	IG	2.5	IG	2	IG	1.5	IG	2.5	IG	15	37	OG	23	26	60	OG	26
157	3	9	OG	2.5	IG	2	IG	1.5	IG	2.5	IG	22	37	OG	30	34	60	OG	24
158	3	9	IG	1	IG	1	IG	3	IG	3	IG	17	38	OG	23	28	60	OG	26
158	3	9	OG	1	IG	1	IG	3	IG	3	IG	21	38	OG	27	32	60	OG	28
159	3	9	IG	0	Unbiased	-0.5	OG	0	Unbiased	0.5	IG	24	36	IG	32	36	60	IG	21
159	3	9	OG	0	Unbiased	-0.5	OG	0	Unbiased	0.5	IG	12	36	IG	23	24	60	IG	25
160	3	9	IG	1	IG	2	IG	2	IG	2	IG	14	28	Unbiased	29	33	60	IG	30
160	3	9	OG	1	IG	2	IG	2	IG	2	IG	14	28	Unbiased	22	27	60	IG	32
161	3	9	IG	1	IG	1	IG	0	Unbiased	0	Unbiased	22	39	IG	29	33	60	IG	20
161	3	9	OG	1	IG	1	IG	0	Unbiased	0	Unbiased	17	39	IG	20	27	60	IG	28
162	4	1	IG	-0.5	OG	1.5	IG	-0.5	OG	0.5	IG	36	50	IG	40	50	80	IG	22
162	4	1	OG	-0.5	OG	1.5	IG	-0.5	OG	0.5	IG	14	50	IG	25	30	80	IG	33
163	4	1	IG	0	Unbiased	0	Unbiased	-1	OG	0	Unbiased	17	40	OG	28	39	80	OG	35
163	4	1	OG	0	Unbiased	0	Unbiased	-1	OG	0	Unbiased	23	40	OG	30	41	80	OG	26
164	4	1	IG	1.5	IG	2.5	IG	0.5	IG	2	IG	18	40	OG	30	40	80	Unbiased	31
164	4	1	OG	1.5	IG	2.5	IG	0.5	IG	2	IG	22	40	OG	29	40	80	Unbiased	28
165	4	1	IG	1	IG	1	IG	1	IG	1	IG	24	50	OG	30	42	80	IG	27
165	4	1	OG	1	IG	1	IG	1	IG	1	IG	26	50	OG	32	38	80	IG	22
166	4	1	IG	0	Unbiased	0.5	IG	0	Unbiased	0	Unbiased	25	37	IG	37	49	80	IG	29
166	4	1	OG	0	Unbiased	0.5	IG	0	Unbiased	0	Unbiased	12	37	IG	27	31	80	IG	32
167	4	1	IG	0.5	IG	0	Unbiased	0.5	IG	0	Unbiased	24	51	OG	29	41	80	IG	27
167	4	1	OG	0.5	IG	0	Unbiased	0.5	IG	0	Unbiased	27	51	OG	29	39	80	IG	22
168	4	2	IG	0.5	IG	-0.5	OG	0	Unbiased	0.5	IG	30	51	IG	34	45	80	IG	22
168	4	2	OG	0.5	IG	-0.5	OG	0	Unbiased	0.5	IG	21	51	IG	28	35	80	IG	22
169	4	2	IG	-0.5	OG	0	Unbiased	-1	OG	-1	OG	20	39	IG	31	38	80	OG	27
169	4	2	OG	-0.5	OG	0	Unbiased	-1	OG	-1	OG	19	39	IG	34	42	80	OG	31
170	4	2	IG	-1	OG	0	Unbiased	1	IG	-1.5	OG	21	45	OG	28	40	80	Unbiased	28
170	4	2	OG	-1	OG	0	Unbiased	1	IG	-1.5	OG	24	45	OG	30	40	80	Unbiased	28
171	4	2	IG	1	IG	1	IG	0	Unbiased	0	Unbiased	28	34	IG	39	53	80	IG	28
171	4	2	OG	1	IG	1	IG	0	Unbiased	0	Unbiased	6	34	IG	24	27	80	IG	34
172	4	2	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	27	49	IG	34	45	80	IG	26
172	4	2	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	22	49	IG	29	35	80	IG	22
173	4	2	IG	1.5	IG	1	IG	1	IG	2	IG	18	38	OG	31	40	80	Unbiased	34
173	4	2	OG	1.5	IG	1	IG	1	IG	2	IG	20	38	OG	30	40	80	Unbiased	34
174	4	3	IG	0	Unbiased	0.5	IG	0.5	IG	0.5	IG	21	39	IG	34	43	80	IG	29
174	4	3	OG	0	Unbiased	0.5	IG	0.5	IG	0.5	IG	18	39	IG	30	37	80	IG	36
175	4	3	IG	1	IG	0	Unbiased	0.5	IG	0	Unbiased	27	55	OG	33	43	80	IG	25
175	4	3	OG	1	IG	0	Unbiased	0.5	IG	0	Unbiased	28	55	OG	30	37	80	IG	22
176	4	3	IG	0	Unbiased	0	Unbiased	-0.5	OG	0.5	IG	42	56	IG	45	57	80	IG	15
176	4	3	OG	0	Unbiased	0	Unbiased	-0.5	OG	0.5	IG	14	56	IG	20	23	80	IG	26
177	4	3	IG	1	IG	0	Unbiased	-0.5	OG	-0.5	OG	26	49	IG	30	40	80	Unbiased	20
177	4	3	OG	1	IG	0	Unbiased	-0.5	OG	-0.5	OG	23	49	IG	31	40	80	Unbiased	25
178	4	3	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	30	49	IG	30	40	80	Unbiased	20
178	4	3	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	19	49	IG	31	40	80	Unbiased	29
179	4	3	IG	1	IG	1	IG	1	IG	2	IG	27	47	IG	32	43	80	IG	25
179	4	3	OG	1	IG	1	IG	1	IG	2	IG	20	47	IG	30	37	80	IG	28
180	4	4	IG	1.5	IG	0	Unbiased	-0.5	OG	0	Unbiased	24	46	IG	32	43	80	IG	28
180	4	4	OG	1.5	IG	0	Unbiased	-0.5	OG	0	Unbiased	22	46	IG	30	37	80	IG	27
181	4	4	IG	1	IG	1	IG	1	IG	1	IG	34	60	IG	34	42	80	IG	20
181	4	4	OG	1	IG	1	IG	1	IG	1	IG	26	60	IG	28	38	80	IG	19
182	4	4	IG	0	Unbiased	0	Unbiased	-3	OG	0	Unbiased	21	61	OG	24	29	80	OG	26
182	4	4	OG	0	Unbiased	0	Unbiased	-3	OG	0	Unbiased	40	61	OG	41	51	80	OG	13
183	4	4	IG	-0.5	OG	0	Unbiased	0	Unbiased	0	Unbiased	26	48	IG	37	43	80	IG	27
183	4	4	OG	-0.5	OG	0	Unbiased	0	Unbiased	0	Unbiased	22	48	IG	28	37	80	IG	30
184	4	4	IG	-1	OG	1	IG	-0.5	OG	0	Unbiased	28	44	IG	33	42	80	IG	21
184	4	4	OG	-1	OG	1	IG	-0.5	OG	0	Unbiased	16	44	IG	29	38	80	IG	32
185	4	4	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	20	38	IG	36	41	80	IG	34
185	4	4	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	18	38	IG	29	39	80	IG	31
186	4	5	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	19	46	OG	33	40	80	Unbiased	29
186	4	5	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	27	46	OG	31	40	80	Unbiased	22
187	4	5	IG	-0.5	OG	0.5	IG	0.5	IG	-0.5	OG	29	53	IG	33	40	80	Unbiased	22
187	4	5	OG	-0.5	OG	0.5	IG	0.5	IG	-0.5	OG	24	53	IG	30	40	80	Unbiased	23
188	4	5	IG	0	Unbiased	0	Unbiased	1	IG	1	IG	47	59	IG	47	60	80	IG	13
188	4	5	OG	0	Unbiased	0	Unbiased	1	IG	1	IG	12	59	IG	20	20	80	IG	30
189	4	5	IG	1	IG	0.5	IG	-1	OG	0.5	IG	22	45	OG	34	47	80	IG	32
189	4	5	OG	1	IG	0.5	IG	-1	OG	0.5	IG	23	45	OG	29	33	80	IG	23
190	4	5	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	22	45	OG	35	42	80	IG	27
190	4	5	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	23	45	OG	30	38	80	IG	28
191	4	5	IG	0	Unbiased	1	IG	1	IG	1	IG	29	50	IG	32	43	80	IG	22
191	4	5	OG	0	Unbiased	1	IG	1	IG	1	IG	21	50	IG	29	37	80	IG	25
192	4	6	IG	-0.5	OG	0	Unbiased	0	Unbiased	-0.5	OG	29	54	IG	36	42	80	IG	22
192	4	6	OG	-0.5	OG	0	Unbiased	0	Unbiased	-0.5	OG	25	54	IG	32	38	80	IG	20
193	4	6	IG	1	IG	0.5	IG	0.5	IG	0	Unbiased	16	40	OG	35	43	80	IG	34
193	4	6	OG	1	IG	0.5	IG	0.5	IG	0	Unbiased	24	40	OG	31	37	80	IG	24
194	4	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	-0.5	OG	25	48	IG	33	37	80	OG	19
194	4	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	-0.5	OG	23	48	IG	34	43	80	OG	25
195	4	6	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	36	46	IG	48	60	80	IG	24
195	4	6	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	10	46	IG	20	20	80	IG	28
196	4	6	IG	2.5	IG	1	IG	1	IG	1	IG	18	39	OG	33	40	80	Unbiased	39
196	4	6	OG	2.5	IG	1	IG	1	IG	1	IG	21	39	OG	33	40	80	Unbiased	29
197	4	6	IG	-2	OG	-2	OG	0	Unbiased	0	Unbiased	33	55	IG	37	45	80	IG	17
197	4	6	OG	-2	OG	-2	OG	0	Unbiased	0	Unbiased	22	55	IG	31	35	80	IG	23
198	4	7	IG	-0.5	OG	0	Unbiased	0	Unbiased	0	Unbiased	17	31	IG	28	36	80	OG	32
198	4	7	OG	-0.5	OG	0	Unbiased	0	Unbiased	0	Unbiased	14	31	IG	35	44	80	OG	37
199	4	7	IG	0.5	IG	1.5	IG	0.5	IG	1	IG	21	39	IG	35	43	80	IG	30
199	4	7	OG	0.5	IG	1.5	IG	0.5	IG	1	IG	18	39	IG	27	37	80	IG	31
200	4	7	IG	1	IG	1	IG	0	Unbiased	1.5	IG	17	33	IG	32	39	80	OG	33
200	4	7	OG	1	IG	1	IG	0	Unbiased	1.5	IG	16	33	IG	29	41	80	OG	36
201	4	7	IG	0.5	IG	0	Unbiased	0	Unbiased	0	Unbiased	29	41	IG	42	59	80	IG	30
201	4	7	OG	0.5	IG	0	Unbiased	0	Unbiased	0	Unbiased	12	41	IG	20	21	80	IG	21
202	4	7	IG	0.5	IG	0.5	IG	0	Unbiased	0	Unbiased	29	33	IG	43	60	80	IG	31
202	4	7	OG	0.5	IG	0.5	IG	0	Unbiased	0	Unbiased	4	33	IG	20	20	80	IG	44
203	4	7	IG	2.5	IG	4	IG	2.5	IG	3	IG	19	44	OG	29	34	80	OG	30
203	4	7	OG	2.5	IG	4	IG	2.5	IG	3	IG	25	44	OG	37	46	80	OG	25
204	4	8	IG	1	IG	0	Unbiased	0.5	IG	0.5	IG	34	61	IG	34	40	80	Unbiased	12
204	4	8	OG	1	IG	0	Unbiased	0.5	IG	0.5	IG	27	61	IG	31	40	80	Unbiased	23
205	4	8	IG	2	IG	2	IG	0.5	IG	2.5	IG	19	34	IG	36	43	80	IG	36
205	4	8	OG	2	IG	2	IG	0.5	IG	2.5	IG	15	34	IG	28	37	80	IG	33
206	4	8	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	26	49	IG	35	42	80	IG	22
206	4	8	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	23	49	IG	28	38	80	IG	23
207	4	8	IG	0.5	IG	1.5	IG	0	Unbiased	0.5	IG	36	47	IG	45	59	80	IG	24
207	4	8	OG	0.5	IG	1.5	IG	0	Unbiased	0.5	IG	11	47	IG	20	21	80	IG	25
208	4	8	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	23	51	OG	29	35	80	OG	23
208	4	8	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	28	51	OG	39	45	80	OG	22
209	4	8	IG	0.5	IG	-0.5	OG	0	Unbiased	0	Unbiased	27	55	OG	31	42	80	IG	21
209	4	8	OG	0.5	IG	-0.5	OG	0	Unbiased	0	Unbiased	28	55	OG	33	38	80	IG	16
210	4	9	IG	0.5	IG	0	Unbiased	-0.5	OG	0	Unbiased	29	57	IG	31	41	80	IG	20
210	4	9	OG	0.5	IG	0	Unbiased	-0.5	OG	0	Unbiased	28	57	IG	32	39	80	IG	17
211	4	9	IG	0	Unbiased	0	Unbiased	-0.5	OG	0	Unbiased	22	43	IG	32	37	80	OG	27
211	4	9	OG	0	Unbiased	0	Unbiased	-0.5	OG	0	Unbiased	21	43	IG	38	43	80	OG	30
212	4	9	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	14	19	IG	32	41	80	IG	40
212	4	9	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	5	19	IG	36	39	80	IG	47
213	4	9	IG	-0.5	OG	0.5	IG	1.5	IG	1.5	IG	14	27	IG	47	57	80	IG	44
213	4	9	OG	-0.5	OG	0.5	IG	1.5	IG	1.5	IG	13	27	IG	21	23	80	IG	37
214	4	9	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	20	39	IG	31	40	80	Unbiased	29
214	4	9	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	19	39	IG	28	40	80	Unbiased	30
215	4	9	IG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	33	62	IG	36	39	80	OG	11
215	4	9	OG	0	Unbiased	0	Unbiased	0	Unbiased	0	Unbiased	29	62	IG	33	41	80	OG	18
