subject	time	group	competent	capable	warm	friendly
44	post	OG	2	3	3	3
45	pre	IG	4	5	4	4
45	pre	OG	3	3	2	2
45	post	IG	4	4	4	4
45	post	OG	4	4	3	2
46	pre	IG	4	3	4	4
46	pre	OG	3	3	3	3
46	post	IG	5	5	5	5
46	post	OG	5	5	5	5
47	pre	IG	4	3	2	2
47	pre	OG	3	2	2	3
47	post	IG	3	4	4	3
47	post	OG	3	2	4	3
48	pre	IG	4	5	4	5
48	pre	OG	4	5	5	4
48	post	IG	5	4	5	4
48	post	OG	5	4	5	4
49	pre	IG	3	4	5	4
49	pre	OG	3	5	3	2
49	post	IG	4	3	4	5
49	post	OG	2	2	4	3
50	pre	IG	4	3	3	4
50	pre	OG	3	4	3	4
50	post	IG	4	5	4	5
50	post	OG	4	4	5	4
51	pre	IG	3	3	2	4
51	pre	OG	5	3	2	4
51	post	IG	2	4	3	4
51	post	OG	5	3	2	4
52	pre	IG	5	3	3	4
52	pre	OG	5	4	4	5
52	post	IG	5	3	4	4
52	post	OG	4	4	3	3
53	pre	IG	5	4	5	4
53	pre	OG	5	4	5	4
53	post	IG	5	4	5	4
53	post	OG	5	4	5	4
54	pre	IG	3	3	3	2
54	pre	OG	2	2	2	3
54	post	IG	3	3	2	2
54	post	OG	3	3	3	3
55	pre	IG	4	4	2	5
55	pre	OG	3	3	4	4
55	post	IG	4	3	4	3
55	post	OG	3	3	4	4
56	pre	IG	2	3	4	5
56	pre	OG	3	4	4	4
56	post	IG	4	3	5	4
56	post	OG	4	3	4	2
57	pre	IG	4	5	3	4
57	pre	OG	4	4	5	3
57	post	IG	4	4	5	3
57	post	OG	5	3	4	4
58	pre	IG	5	4	4	5
58	pre	OG	5	4	4	5
58	post	IG	5	4	4	5
58	post	OG	5	4	4	5
59	pre	IG	5	4	4	5
59	pre	OG	5	4	4	4
59	post	IG	4	4	4	5
59	post	OG	4	4	3	4
60	pre	IG	4	4	2	3
60	pre	OG	3	3	2	2
60	post	IG	4	3	2	3
60	post	OG	4	2	2	3
61	pre	IG	3	3	3	3
61	pre	OG	4	4	3	4
61	post	IG	5	5	4	4
61	post	OG	4	4	4	4
62	pre	IG	5	5	5	5
62	pre	OG	3	3	3	3
62	post	IG	5	5	5	5
62	post	OG	3	3	3	3
63	pre	IG	5	5	5	4
63	pre	OG	4	4	3	3
63	post	IG	5	5	5	4
63	post	OG	4	5	4	4
64	pre	IG	4	5	5	4
64	pre	OG	4	5	5	4
64	post	IG	4	5	5	4
64	post	OG	4	5	5	4
65	pre	IG	5	4	4	5
65	pre	OG	4	4	5	5
65	post	IG	5	4	5	5
65	post	OG	5	4	4	5
66	pre	IG	5	5	5	5
66	pre	OG	2	3	4	2
66	post	IG	5	5	5	5
66	post	OG	4	4	5	4
67	pre	IG	4	5	4	5
67	pre	OG	3	3	2	4
67	post	IG	3	4	4	4
67	post	OG	3	3	4	4
68	pre	IG	4	4	1	4
68	pre	OG	4	4	1	4
68	post	IG	4	4	1	4
68	post	OG	4	4	1	4
69	pre	IG	5	4	4	5
69	pre	OG	3	4	4	4
69	post	IG	4	4	4	4
69	post	OG	4	4	4	3
70	pre	IG	2	1	1	2
70	pre	OG	2	2	1	2
70	post	IG	2	2	1	2
70	post	OG	1	1	2	1
71	pre	IG	5	4	4	5
71	pre	OG	4	3	4	4
71	post	IG	5	5	5	5
71	post	OG	5	5	5	5
72	pre	IG	5	5	4	4
72	pre	OG	4	5	4	4
72	post	IG	5	5	4	4
72	post	OG	5	5	4	4
73	pre	IG	4	4	4	4
73	pre	OG	3	3	3	3
73	post	IG	4	4	4	4
73	post	OG	3	3	3	3
74	pre	IG	4	4	4	4
74	pre	OG	4	4	4	4
74	post	IG	4	4	4	4
74	post	OG	4	4	4	4
75	pre	IG	4	4	4	4
75	pre	OG	4	4	4	4
75	post	IG	4	4	4	4
75	post	OG	4	4	4	4
76	pre	IG	4	5	4	4
76	pre	OG	5	4	3	5
76	post	IG	5	4	4	5
76	post	OG	5	5	4	5
77	pre	IG	4	4	5	4
77	pre	OG	2	3	3	3
77	post	IG	5	4	4	4
77	post	OG	2	3	3	3
78	pre	IG	2	2	2	2
78	pre	OG	2	2	2	2
78	post	IG	2	2	2	2
78	post	OG	2	2	2	2
79	pre	IG	3	3	3	4
79	pre	OG	3	3	2	3
79	post	IG	4	4	3	4
79	post	OG	4	4	3	4
80	pre	IG	5	5	5	5
80	pre	OG	2	2	2	2
80	post	IG	5	5	5	5
80	post	OG	2	2	2	2
81	pre	IG	3	3	3	3
81	pre	OG	3	3	3	3
81	post	IG	4	4	4	4
81	post	OG	3	3	3	3
82	pre	IG	5	5	5	5
82	pre	OG	3	3	4	3
82	post	IG	5	5	5	5
82	post	OG	3	3	3	3
83	pre	IG	5	5	5	5
83	pre	OG	5	5	5	5
83	post	IG	5	5	3	3
83	post	OG	3	3	3	3
84	pre	IG	5	5	4	4
84	pre	OG	1	1	3	3
84	post	IG	5	5	4	4
84	post	OG	1	1	3	3
85	pre	IG	5	4	5	5
85	pre	OG	4	3	3	3
85	post	IG	4	4	4	5
85	post	OG	4	4	4	5
86	pre	IG	4	4	3	3
86	pre	OG	4	4	3	3
86	post	IG	4	4	3	3
86	post	OG	4	4	3	3
87	pre	IG	4	4	4	4
87	pre	OG	4	4	3	3
87	post	IG	4	4	4	4
87	post	OG	4	4	4	4
88	pre	IG	3	3	3	3
88	pre	OG	3	3	3	3
88	post	IG	3	3	3	3
88	post	OG	3	3	3	3
89	pre	IG	5	4	5	3
89	pre	OG	4	2	3	3
